much|tennis,1
head|tennis,1
scratching|tennis,1
required|tennis,1
comes|tennis,1
deciding|tennis,1
start|tennis,1
tennis|wish,4
list|tennis,1
last|sport,5
sport|year,1
last|long,13
long|year,1
concerned|last,1
concerned|year,1
last|punching,1
punching|year,1
last|weight,3
weight|year,1
last|spent,4
spent|year,1
last|much,10
much|year,1
last|year,2
elbowing|last,1
elbowing|year,1
last|ribs,1
ribs|year,1
last|numerous,1
numerous|year,1
last|leaders,2
leaders|year,1
last|traded,1
traded|year,1
blows|last,1
blows|year,1
crossed|last,1
crossed|year,1
last|purposes,1
purposes|year,1
niche|tennis,1
sport|tennis,1
concerned|tennis,1
market|tennis,1
mind|tennis,1
share|tennis,1
ruthlessly|tennis,1
competitive|tennis,1
global|tennis,1
entertainment|tennis,1
landscape|tennis,1
improvement|tennis,1
tennis|urgent,1
biggest|tennis,1
stars|tennis,1
roger|tennis,1
federer|tennis,1
serena|tennis,1
tennis|williams,46
open|season,37
season|tennis,1
open|serious,3
serious|tennis,1
open|start,6
australian|open,1
australian|tennis,1
open|tennis,1
monday|open,1
monday|tennis,1
open|wish,1
open|unity,1
tennis|unity,2
ideal|open,1
ideal|tennis,1
open|world,27
tennis|world,35
open|would,22
tennis|would,37
mean|open,1
mean|tennis,1
open|unified,1
tennis|unified,1
governance|open,1
governance|tennis,1
never|player,1
happen|player,1
need|player,1
anything|player,1
commissioner|player,1
player|said,54
brad|player,1
gilbert|player,1
longtime|player,1
coach|player,1
analyst|player,1
require|tennis,1
seven|tennis,1
governing|tennis,1
bodies|tennis,1
cede|tennis,1
authority|tennis,1
situation|tennis,1
probably|tennis,1
existential|tennis,1
tennis|threat,1
game|tennis,1
tennis|viability,1
profitability|tennis,1
imperfect|players,1
imperfect|tennis,1
players|still,10
still|tennis,1
better|players,1
better|tennis,1
players|world,19
players|unity,1
could|players,1
could|tennis,1
also|players,1
also|tennis,1
mean|players,1
genuine|players,1
genuine|tennis,1
players|tennis,1
players|union,1
tennis|union,1
players|women,33
tennis|women,75
players|together,5
tennis|together,3
players|wishing,1
tennis|wishing,1
make|players,1
make|tennis,1
meaningful|players,1
meaningful|tennis,1
players|progress,2
progress|tennis,1
intractable|players,1
intractable|tennis,1
issues|players,1
issues|tennis,1
players|tough,1
tennis|tough,5
negotiations|players,1
negotiations|tennis,1
operate|players,1
operate|tennis,1
players|tournaments,38
tennis|tournaments,32
current|players,1
players|system,7
players|regular,2
players|tour,30
events|players,1
partnership|players,1
players|unusual,3
arrangement|players,1
players|professional,14
players|sports,1
consensus|players,1
change|players,1
difficult|players,1
novak|player,1
djokovic|player,1
back|player,1
player|president,9
council|player,1
explored|player,1
concept|player,1
player|union,2
appears|player,1
player|wishful,1
player|thinking,4
many|player,1
legal|player,1
logistical|player,1
hurdles|player,1
continue|tennis,1
creating|tennis,1
mixed|tennis,1
team|tennis,1
event|tennis,1
carry|tennis,1
legacy|tennis,1
hopman|tennis,1
embrace|tennis,1
ability|tennis,1
showcase|tennis,1
events|tennis,1
longtime|tennis,1
strength|tennis,1
sports|tennis,1
interested|tennis,1
replicating|tennis,1
court|reach,3
agreement|court,1
coaching|court,1
apply|court,1
court|sectors,1
court|game,22
court|women,10
court|tour,21
court|currently,1
allows|court,1
court|visits,1
court|main,13
court|draw,1
court|grand,24
court|slam,26
court|events,7
allow|court,1
court|play,20
halep|players,1
halep|player,1
players|prefers,3
player|prefers,1
letting|players,1
letting|player,1
player|players,1
players|solve,2
player|solve,1
players|tactical,2
player|tactical,1
players|psychological,2
player|psychological,1
issues|player,1
players|pressure,3
player|pressure,2
players|plenty,4
player|plenty,4
others|players,1
others|player,1
existing|players,1
existing|player,1
coaching|players,1
coaching|player,1
players|situation,2
player|situation,1
confusing|players,1
confusing|player,1
fans|players,1
fans|player,1
disorienting|players,1
disorienting|player,1
player|women,27
change|player,1
players|routines,3
player|routines,1
player|tournaments,5
matter|players,1
matter|player,1
light|players,1
light|player,1
difficulty|players,1
difficulty|player,1
players|umpires,2
player|umpires,1
fully|players,1
fully|player,1
players|police,4
player|police,2
coach|players,1
communication|players,1
communication|player,1
perhaps|players,1
perhaps|player,1
allowing|players,1
allowing|player,1
players|signals,2
player|signals,1
players|right,14
player|right,4
compromise|players,1
compromise|player,1
tennis|wishes,1
eliminate|tournament,1
eliminate|tennis,1
lets|tournament,1
lets|tennis,1
serves|tournament,1
serves|tennis,1
point|tournament,1
point|tennis,1
tennis|tournament,2
already|tournament,1
already|tennis,1
cord|tournament,1
cord|tennis,1
tournament|winner,4
tennis|winner,9
rally|tournament,1
rally|tennis,1
groundstroke|tournament,1
groundstroke|tennis,1
